query_id,logical_query_id,mode,attempt_index,initiator_worker,source_worker,topic,finalized,latency_seconds,nodes_contacted,max_hop,source_reached,pageindex_calls,pageindex_latency_seconds_total,pageindex_latency_seconds_max,pageindex_latency_seconds_avg,pageindex_latency_count,evidence_count,retrieval_success,not_found,final_failed
efwdgrkh-q3::chain_hop::node29::attempt2,efwdgrkh-q3::chain_hop::node29,chain_hop,2,node29,node5,Local Environmental Issues,True,64.11332679798943,3,2,True,3,10.344645147997653,5.796376487996895,3.448215049332551,3,1,True,False,False
sosnagnr-q1::chain_hop::node13::attempt1,sosnagnr-q1::chain_hop::node13,chain_hop,1,node13,node7,Local Environmental Issues,True,64.20468119700672,2,1,True,2,11.61381116497796,8.162237713986542,5.80690558248898,2,1,True,False,False
sosnagnr-q1::chain_hop::node13::attempt2,sosnagnr-q1::chain_hop::node13,chain_hop,2,node13,node7,Local Environmental Issues,True,63.93938240897842,2,1,True,2,11.613318357005483,8.167499834991759,5.806659178502741,2,1,True,False,False
sosnagnr-q2::chain_hop::node4::attempt1,sosnagnr-q2::chain_hop::node4,chain_hop,1,node4,node7,Local Environmental Issues,True,60.06620840000687,4,3,True,4,30.234909254970262,10.496473458973924,7.5587273137425655,4,0,False,True,False
sosnagnr-q2::chain_hop::node4::attempt2,sosnagnr-q2::chain_hop::node4,chain_hop,2,node4,node7,Local Environmental Issues,True,60.06948105999618,4,3,True,4,34.950296526018064,12.854104295023717,8.737574131504516,4,0,False,True,False
sosnagnr-q3::chain_hop::node23::attempt1,sosnagnr-q3::chain_hop::node23,chain_hop,1,node23,node7,Local Environmental Issues,True,60.07346071099164,4,3,True,4,27.919054858008167,8.165126409003278,6.979763714502042,4,0,False,True,False
sosnagnr-q3::chain_hop::node23::attempt2,sosnagnr-q3::chain_hop::node23,chain_hop,2,node23,node7,Local Environmental Issues,True,63.19885521000833,3,2,True,3,12.72646620697924,8.18530295297387,4.242155402326413,3,1,True,False,False
fedhtqla-q1::chain_hop::node12::attempt1,fedhtqla-q1::chain_hop::node12,chain_hop,1,node12,node9,Local Health and Wellness,True,60.06287263400736,1,0,False,1,3.4885665159963537,3.4885665159963537,3.4885665159963537,1,0,False,True,False
fedhtqla-q1::chain_hop::node12::attempt2,fedhtqla-q1::chain_hop::node12,chain_hop,2,node12,node9,Local Health and Wellness,True,60.06341297001927,1,0,False,1,3.505645427998388,3.505645427998388,3.505645427998388,1,0,False,True,False
fedhtqla-q2::chain_hop::node5::attempt1,fedhtqla-q2::chain_hop::node5,chain_hop,1,node5,node9,Local Health and Wellness,True,60.12260511799832,2,1,False,2,11.595504332013661,8.146553636994213,5.7977521660068305,2,0,False,True,False
fedhtqla-q2::chain_hop::node5::attempt2,fedhtqla-q2::chain_hop::node5,chain_hop,2,node5,node9,Local Health and Wellness,True,60.070086497988086,2,1,False,2,6.898378858022625,3.4509711880236864,3.4491894290113123,2,0,False,True,False
fedhtqla-q3::chain_hop::node31::attempt1,fedhtqla-q3::chain_hop::node31,chain_hop,1,node31,node9,Local Health and Wellness,True,60.05883779600845,4,3,False,4,16.188133207993815,8.194072671001777,4.047033301998454,4,0,False,True,False
fedhtqla-q3::chain_hop::node31::attempt2,fedhtqla-q3::chain_hop::node31,chain_hop,2,node31,node9,Local Health and Wellness,True,60.049176781001734,4,3,False,4,16.147911995998584,8.14911255100742,4.036977998999646,4,0,False,True,False
gjxpphdi-q1::chain_hop::node9::attempt1,gjxpphdi-q1::chain_hop::node9,chain_hop,1,node9,node10,Local Health and Wellness,True,76.70110545901116,1,0,False,1,12.860629566013813,12.860629566013813,12.860629566013813,1,5,True,False,False
gjxpphdi-q1::chain_hop::node9::attempt2,gjxpphdi-q1::chain_hop::node9,chain_hop,2,node9,node10,Local Health and Wellness,True,83.3253848440072,1,0,False,1,10.510846593999304,10.510846593999304,10.510846593999304,1,7,True,False,False
gjxpphdi-q2::chain_hop::node19::attempt1,gjxpphdi-q2::chain_hop::node19,chain_hop,1,node19,node10,Local Health and Wellness,True,60.07663359900471,1,0,False,1,3.4477548639988527,3.4477548639988527,3.4477548639988527,1,0,False,True,False
gjxpphdi-q2::chain_hop::node19::attempt2,gjxpphdi-q2::chain_hop::node19,chain_hop,2,node19,node10,Local Health and Wellness,True,60.071940927999094,1,0,False,1,3.5089138619950972,3.5089138619950972,3.5089138619950972,1,0,False,True,False
